Height,Weight,ADD/L,ADD/R,ABD/L,ABD/R,ER/L,ER/R,IR/L,IR/R,EXT/L,EXT/R,FLEX/L,FLEX/R,EB max force,EB mean force,EB sd force,EB max height,EB min height,EB mean height,BB
1.63,49.21,214.7,234.15,222.85,209.9,89.25,83.4,124.75,118.5,211.85,180.75,153.55,159.35,7.61,5.62201863354037,0.729727444292655,8.5,7.5,8.0,9.0
1.56,59.1,270.05,272.2,210.85,209.35,91.8,88.1,105.3,101.5,210.15,124.65,192.9,208.75,8.37,5.5592857142857195,0.8244366257564859,7.5,7.0,7.33333333333333,9.0
1.71,68.2,316.4,317.9,222.25,226.8,99.75,117.55,134.75,134.8,121.35,222.7,237.55,219.2,10.79,8.9027950310559,0.683003912250646,7.0,6.5,6.58333333333333,9.5
1.63,57.6,181.75,191.5,204.05,209.95,67.9,85.05,75.55,73.75,91.85,69.4,155.8,168.55,7.51,6.463540372670809,0.45759892100864,7.5,7.0,7.08333333333333,9.0
1.67,56.9,262.05,269.0,215.15,187.3,82.45,86.65,128.15,116.6,176.65,168.45,185.65,176.85,11.01,7.59521739130435,0.9192453134845279,8.0,8.0,8.0,9.5
1.62,46.3,196.2,211.8,171.5,169.25,55.65,62.9,65.15,74.15,40.7,81.45,141.55,99.1,8.91,7.27195652173913,0.5079525433204821,9.5,8.0,8.41666666666667,9.0
1.69,58.51,282.05,252.4,239.25,225.3,82.2,91.7,79.7,87.5,106.55,73.9,153.15,140.95,8.43,6.4003726708074495,0.601557053587765,9.0,7.5,8.25,9.5
1.7,59.5,239.4,272.4,239.8,242.25,79.95,95.6,120.95,108.95,150.25,154.8,185.7,176.15,11.38,7.49204968944099,1.20601535821574,8.5,7.5,8.08333333333333,9.0
1.67,58.97,189.25,193.65,205.5,230.1,63.3,69.55,114.1,111.0,164.95,128.4,123.55,134.1,12.0,9.31652173913043,0.8468414916541329,8.0,7.5,7.58333333333333,9.5
1.65,43.0,308.35,312.1,247.25,256.2,81.7,84.6,84.6,92.25,232.55,218.0,203.65,200.9,7.68,6.49850931677019,0.43010280764785996,9.5,8.5,9.0,9.5
1.79,57.0,263.4,274.0,237.55,209.95,63.7,66.05,85.7,92.3,300.2,271.5,210.75,216.75,9.5,6.95086956521739,0.7968480675428979,8.5,7.5,8.0,8.5
